02/01/18- 20:16:36  -- 2018 -- 131 -- 80 -- {'2019': 1000.0, '2018': 1000.0, '2020': 1000.0}
02/01/18- 20:16:36  -- 2019 -- 60 -- 389 -- {'2019': 1000.0, '2018': 74.0, '2020': 1000.0}
02/01/18- 20:16:36  -- 2020 -- 600 -- 211 -- {'2019': 239.0, '2018': 74.0, '2020': 1000.0}
02/01/18- 20:16:39  -- 2018 -- 141 -- 80 -- {'2019': 239.0, '2018': 74.0, '2020': 700.0}
02/01/18- 20:16:39  -- 2019 -- 60 -- 378 -- {'2019': 239.0, '2018': 69.0, '2020': 700.0}
02/01/18- 20:16:39  -- 2020 -- 600 -- 220 -- {'2019': 234.0, '2018': 69.0, '2020': 700.0}
02/01/18- 20:16:42  -- 2018 -- 152 -- 80 -- {'2019': 234.0, '2018': 69.0, '2020': 696.0}
02/01/18- 20:16:42  -- 2019 -- 60 -- 368 -- {'2019': 234.0, '2018': 64.0, '2020': 696.0}
02/01/18- 20:16:42  -- 2020 -- 600 -- 231 -- {'2019': 230.0, '2018': 64.0, '2020': 696.0}
02/01/18- 20:16:45  -- 2018 -- 162 -- 80 -- {'2019': 230.0, '2018': 64.0, '2020': 691.0}
02/01/18- 20:16:45  -- 2019 -- 60 -- 358 -- {'2019': 230.0, '2018': 60.0, '2020': 691.0}
02/01/18- 20:16:45  -- 2020 -- 600 -- 242 -- {'2019': 225.0, '2018': 60.0, '2020': 691.0}
02/01/18- 20:16:48  -- 2018 -- 171 -- 80 -- {'2019': 225.0, '2018': 60.0, '2020': 686.0}
02/01/18- 20:16:48  -- 2019 -- 60 -- 348 -- {'2019': 225.0, '2018': 56.0, '2020': 686.0}
02/01/18- 20:16:48  -- 2020 -- 600 -- 254 -- {'2019': 221.0, '2018': 56.0, '2020': 686.0}
02/01/18- 20:16:51  -- 2018 -- 181 -- 80 -- {'2019': 221.0, '2018': 56.0, '2020': 681.0}
02/01/18- 20:16:51  -- 2019 -- 60 -- 339 -- {'2019': 221.0, '2018': 52.0, '2020': 681.0}
02/01/18- 20:16:51  -- 2020 -- 600 -- 265 -- {'2019': 217.0, '2018': 52.0, '2020': 681.0}
02/01/18- 20:16:54  -- 2018 -- 192 -- 80 -- {'2019': 217.0, '2018': 52.0, '2020': 676.0}
02/01/18- 20:16:54  -- 2019 -- 60 -- 329 -- {'2019': 217.0, '2018': 47.0, '2020': 676.0}
02/01/18- 20:16:54  -- 2020 -- 600 -- 275 -- {'2019': 213.0, '2018': 47.0, '2020': 676.0}
02/01/18- 20:16:57  -- 2018 -- 202 -- 80 -- {'2019': 213.0, '2018': 47.0, '2020': 672.0}
02/01/18- 20:16:57  -- 2019 -- 60 -- 320 -- {'2019': 213.0, '2018': 43.0, '2020': 672.0}
02/01/18- 20:16:57  -- 2020 -- 600 -- 285 -- {'2019': 209.0, '2018': 43.0, '2020': 672.0}
02/01/18- 20:17:00  -- 2018 -- 213 -- 80 -- {'2019': 209.0, '2018': 43.0, '2020': 668.0}
02/01/18- 20:17:00  -- 2019 -- 60 -- 310 -- {'2019': 209.0, '2018': 38.0, '2020': 668.0}
02/01/18- 20:17:00  -- 2020 -- 600 -- 296 -- {'2019': 204.0, '2018': 38.0, '2020': 668.0}
02/01/18- 20:17:03  -- 2018 -- 222 -- 80 -- {'2019': 204.0, '2018': 38.0, '2020': 663.0}
02/01/18- 20:17:03  -- 2019 -- 60 -- 300 -- {'2019': 204.0, '2018': 34.0, '2020': 663.0}
02/01/18- 20:17:04  -- 2020 -- 600 -- 307 -- {'2019': 200.0, '2018': 34.0, '2020': 663.0}
02/01/18- 20:17:07  -- 2018 -- 234 -- 80 -- {'2019': 200.0, '2018': 34.0, '2020': 658.0}
02/01/18- 20:17:07  -- 2019 -- 60 -- 288 -- {'2019': 200.0, '2018': 29.0, '2020': 658.0}
02/01/18- 20:17:07  -- 2020 -- 600 -- 315 -- {'2019': 195.0, '2018': 29.0, '2020': 658.0}
02/01/18- 20:17:10  -- 2018 -- 244 -- 80 -- {'2019': 195.0, '2018': 29.0, '2020': 655.0}
02/01/18- 20:17:10  -- 2019 -- 60 -- 279 -- {'2019': 195.0, '2018': 24.0, '2020': 655.0}
02/01/18- 20:17:10  -- 2020 -- 600 -- 324 -- {'2019': 191.0, '2018': 24.0, '2020': 655.0}
02/01/18- 20:17:13  -- 2018 -- 255 -- 80 -- {'2019': 191.0, '2018': 24.0, '2020': 651.0}
02/01/18- 20:17:13  -- 2019 -- 60 -- 268 -- {'2019': 191.0, '2018': 20.0, '2020': 651.0}
02/01/18- 20:17:13  -- 2020 -- 600 -- 336 -- {'2019': 186.0, '2018': 20.0, '2020': 651.0}
02/01/18- 20:17:16  -- 2018 -- 265 -- 80 -- {'2019': 186.0, '2018': 20.0, '2020': 646.0}
02/01/18- 20:17:16  -- 2019 -- 60 -- 257 -- {'2019': 186.0, '2018': 15.0, '2020': 646.0}
02/01/18- 20:17:16  -- 2020 -- 600 -- 345 -- {'2019': 181.0, '2018': 15.0, '2020': 646.0}
02/01/18- 20:17:19  -- 2018 -- 277 -- 80 -- {'2019': 181.0, '2018': 15.0, '2020': 642.0}
02/01/18- 20:17:19  -- 2019 -- 60 -- 246 -- {'2019': 181.0, '2018': 10.0, '2020': 642.0}
02/01/18- 20:17:19  -- 2020 -- 600 -- 356 -- {'2019': 177.0, '2018': 10.0, '2020': 642.0}
02/01/18- 20:17:22  -- 2018 -- 287 -- 80 -- {'2019': 177.0, '2018': 10.0, '2020': 637.0}
02/01/18- 20:17:22  -- 2019 -- 60 -- 234 -- {'2019': 177.0, '2018': 6.0, '2020': 637.0}
02/01/18- 20:17:22  -- 2020 -- 600 -- 366 -- {'2019': 171.0, '2018': 6.0, '2020': 637.0}
02/03/18- 21:38:59  -- 2018 -- 133 -- 80 -- {'2019': 1000.0, '2020': 1000.0, '2018': 1000.0}
02/03/18- 21:38:59  -- 2019 -- 60 -- 389 -- {'2019': 1000.0, '2020': 1000.0, '2018': 73.0}
02/03/18- 21:38:59  -- 2020 -- 600 -- 213 -- {'2019': 239.0, '2020': 1000.0, '2018': 73.0}
02/03/18- 21:39:02  -- 2018 -- 143 -- 80 -- {'2019': 239.0, '2020': 699.0, '2018': 73.0}
02/03/18- 21:39:02  -- 2019 -- 60 -- 380 -- {'2019': 239.0, '2020': 699.0, '2018': 68.0}
02/03/18- 21:39:02  -- 2020 -- 600 -- 223 -- {'2019': 235.0, '2020': 699.0, '2018': 68.0}
02/03/18- 21:39:05  -- 2018 -- 154 -- 80 -- {'2019': 235.0, '2020': 695.0, '2018': 68.0}
02/03/18- 21:39:05  -- 2019 -- 60 -- 369 -- {'2019': 235.0, '2020': 695.0, '2018': 64.0}
02/03/18- 21:39:05  -- 2020 -- 600 -- 233 -- {'2019': 230.0, '2020': 695.0, '2018': 64.0}
02/03/18- 21:39:08  -- 2018 -- 163 -- 80 -- {'2019': 230.0, '2020': 690.0, '2018': 64.0}
02/03/18- 21:39:08  -- 2019 -- 60 -- 361 -- {'2019': 230.0, '2020': 690.0, '2018': 60.0}
02/03/18- 21:39:08  -- 2020 -- 600 -- 242 -- {'2019': 227.0, '2020': 690.0, '2018': 60.0}
02/03/18- 21:39:11  -- 2018 -- 173 -- 80 -- {'2019': 227.0, '2020': 686.0, '2018': 60.0}
02/03/18- 21:39:11  -- 2019 -- 60 -- 350 -- {'2019': 227.0, '2020': 686.0, '2018': 55.0}
02/03/18- 21:39:11  -- 2020 -- 600 -- 253 -- {'2019': 222.0, '2020': 686.0, '2018': 55.0}
02/03/18- 21:39:14  -- 2018 -- 184 -- 80 -- {'2019': 222.0, '2020': 682.0, '2018': 55.0}
02/03/18- 21:39:14  -- 2019 -- 60 -- 340 -- {'2019': 222.0, '2020': 682.0, '2018': 50.0}
02/03/18- 21:39:14  -- 2020 -- 600 -- 263 -- {'2019': 218.0, '2020': 682.0, '2018': 50.0}
02/03/18- 21:39:17  -- 2018 -- 194 -- 80 -- {'2019': 218.0, '2020': 677.0, '2018': 50.0}
